id,Calorie_correction,Moisture,Crude_protein,Crude_fat,Saturated_fat,Total_carbohydrates,Dietary_fiber,Total_carbohydrate,glucose,fructose,Galactose,maltose,sucrose,lactose,sodium,Potassium,calcium,magnesium,iron,Zinc,phosphorus,copper,manganese,VitaminB1,VitaminB2,VitaminB6,VitaminB12,VitaminC,Folic_acid,VitaminA,VitaminD,VitaminE,Cluster_category
1,109.0,71.7,1.8,0.2,0.2,25.4,2.4,5.1,0.5,0.4,0.0,0.4,3.9,0.0,42.0,300.0,25.0,23.0,0.5,0.2,52.0,0.0,0.0,0.09,0.04,0.12,0.0,30.3,15.1,10491.0,0.0,0.32,3
3,1101.0,139.6,34.9,35.0,16.7,178.0,26.7,0.6,0.0,0.0,0.0,0.0,0.6,0.0,516.0,5723.0,187.0,500.0,16.2,7.2,918.0,0.0,0.0,0.18,0.26,0.88,0.08,2.6,75.2,87.0,0.0,12.4,1
4,90.0,268.1,5.8,0.5,0.0,23.6,12.1,6.5,1.2,0.7,0.0,0.0,4.5,0.0,104.0,665.0,58.0,40.0,2.7,1.4,155.0,0.01,0.0,0.14,0.51,0.38,0.13,5.5,84.1,20718.0,0.0,0.42,2
6,22.0,92.6,1.7,0.2,0.2,4.7,1.7,2.2,1.1,1.1,0.0,0.0,0.0,0.0,0.0,303.0,10.0,11.0,0.8,0.9,42.0,0.0,0.0,0.07,0.06,0.08,0.0,5.0,0.0,0.0,0.0,0.39,0
7,74.0,80.5,2.6,0.2,0.0,15.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,386.0,4.0,20.0,0.6,1.1,38.0,0.0,0.0,0.08,0.03,0.15,0.0,29.5,11.4,0.0,0.0,0.02,0
8,305.0,93.7,2.9,4.1,0.6,70.5,10.7,43.6,36.5,2.1,0.0,0.0,5.1,0.0,10509.0,411.0,42.0,26.0,5.2,0.6,46.0,0.0,0.0,0.02,0.07,0.07,0.0,6.6,19.6,131.0,0.0,1.42,3
9,959.0,256.0,33.9,85.5,32.1,16.4,3.2,1.4,0.4,0.0,0.0,0.2,0.4,0.4,2165.0,899.0,38.0,55.0,2.7,3.6,579.0,0.0,0.0,1.0,0.38,0.78,1.54,142.5,17.2,17785.0,0.0,2.52,2
10,222.0,251.4,16.1,9.2,3.1,20.5,2.7,0.2,0.2,0.0,0.0,0.0,0.0,0.0,206.0,835.0,141.0,43.0,3.1,2.7,249.0,0.07,0.03,0.18,0.55,0.31,0.8,36.7,90.0,1222.0,84.4,2.38,1
11,135.0,75.9,12.7,8.9,3.1,1.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,138.0,135.0,54.0,11.0,1.9,1.3,186.0,0.07,0.03,0.09,0.48,0.11,0.8,0.6,78.6,558.0,84.4,2.22,1
13,64.0,81.8,1.0,0.2,0.1,16.5,0.8,14.1,7.0,7.0,0.0,0.0,0.1,0.0,1.0,185.0,4.0,14.0,0.1,0.3,25.0,0.04,0.0,0.03,0.06,0.09,0.0,52.3,14.9,0.0,0.0,0.17,0
14,971.0,154.6,34.5,84.8,32.1,18.2,1.3,1.4,0.4,0.0,0.0,0.2,0.4,0.4,2152.0,816.0,12.0,54.0,2.0,4.3,567.0,0.0,0.0,0.97,0.32,0.59,1.54,78.6,28.6,62.0,0.0,0.46,3
16,109.0,71.7,1.8,0.2,0.2,25.4,2.4,5.1,0.5,0.4,0.0,0.4,3.9,0.0,42.0,300.0,25.0,23.0,0.5,0.2,52.0,0.0,0.0,0.09,0.04,0.12,0.0,30.3,15.1,10491.0,0.0,0.32,3
17,387.0,34.5,16.6,27.8,10.2,17.7,0.0,12.5,0.8,0.0,0.0,0.0,11.8,0.0,1021.0,310.0,6.0,18.0,1.2,1.8,196.0,0.0,0.0,0.47,0.16,0.17,0.77,12.4,7.5,63.0,0.0,0.22,0
18,954.0,209.8,34.6,54.4,8.8,93.6,21.3,6.6,1.0,1.0,0.0,0.0,4.5,0.0,706.0,1286.0,879.0,339.0,22.8,5.3,785.0,0.0,0.0,0.21,1.17,0.9,0.32,27.7,329.5,24110.0,0.0,21.45,2
22,346.0,109.3,0.8,0.6,0.2,88.8,1.2,0.9,0.5,0.4,0.0,0.0,0.1,0.0,4.0,150.0,26.0,10.0,0.2,0.1,22.0,0.0,0.0,0.07,0.06,0.05,0.0,36.6,3.3,0.0,0.0,0.59,0
23,359.0,204.4,1.5,0.6,0.2,92.6,3.0,1.7,1.0,0.6,0.0,0.0,0.1,0.0,4.0,330.0,31.0,23.0,0.3,0.2,43.0,0.01,0.0,0.07,0.09,0.16,0.0,84.9,68.8,6.0,0.0,1.15,0
24,376.0,101.1,0.7,0.1,0.1,97.7,1.1,47.6,5.0,3.4,0.0,34.0,5.2,0.0,0.0,162.0,10.0,12.0,0.3,0.4,11.0,0.0,0.0,0.08,0.04,0.15,0.0,12.0,14.6,29.0,0.0,0.04,0
