id,Cluster_category
1,4
3,0
4,2
6,3
7,3
8,4
9,2
10,1
11,1
13,3
14,4
16,4
17,4
18,2
22,3
23,3
24,3
25,4
26,4
27,4
29,4
30,2
38,3
39,0
40,0
41,4
42,0
43,3
44,1
46,1
47,4
49,3
51,0
52,3
53,1
54,1
55,0
56,4
57,3
58,1
59,1
61,0
65,3
66,3
67,3
68,3
69,0
70,0
71,3
72,4
73,4
74,3
75,1
76,3
77,0
79,3
81,3
84,0
85,3
86,4
87,2
88,3
90,0
91,0
92,4
93,3
94,0
95,0
96,4
97,0
98,1
99,3
100,3
101,1
102,4
103,4
104,1
105,0
107,1
108,0
109,3
110,1
111,3
112,1
113,0
114,3
115,1
116,3
117,3
118,4
119,3
120,3
121,0
122,3
123,0
124,0
126,4
127,1
131,4
132,3
134,4
135,3
136,0
137,2
138,3
139,1
140,0
141,4
142,1
143,3
144,3
145,1
147,1
148,0
149,3
150,4
151,4
152,4
153,1
154,4
155,4
156,4
158,3
159,0
160,1
161,2
162,2
163,1
166,0
167,3
168,2
169,0
170,0
171,4
172,1
173,3
174,0
175,1
177,3
178,1
179,3
180,1
181,4
182,0
183,1
184,4
185,4
186,0
187,0
188,1
189,4
190,0
191,1
192,3
193,1
194,3
195,4
196,1
197,4
198,0
199,0
200,1
201,3
203,4
206,4
207,4
208,3
209,1
210,0
211,3
212,4
213,1
214,1
215,4
216,4
217,0
218,0
220,0
221,2
222,3
223,1
224,1
225,4
226,1
230,4
231,2
234,3
235,1
237,0
238,3
239,1
240,4
241,2
242,4
243,3
244,4
245,0
246,3
247,4
248,0
249,1
250,0
251,0
252,1
253,4
254,1
255,3
256,4
257,2
258,0
259,0
261,4
262,3
263,4
264,1
265,4
266,3
267,3
268,1
269,1
270,3
272,3
273,0
274,4
275,3
276,3
277,3
278,1
279,4
280,4
281,4
282,1
284,1
286,4
287,3
288,1
289,4
290,3
291,1
292,4
293,4
294,3
295,3
296,0
297,3
298,2
299,3
300,3
301,1
302,1
303,0
304,3
305,1
306,1
308,2
309,1
310,1
311,1
312,1
313,3
314,4
316,1
317,3
320,0
321,3
322,4
323,3
326,0
327,0
328,4
329,2
330,1
331,2
332,0
333,3
334,0
335,3
336,0
337,4
338,4
339,1
340,0
341,3
342,0
343,3
344,1
346,3
348,3
350,3
351,4
352,1
353,0
354,1
355,0
356,3
357,4
358,4
359,0
361,4
362,1
363,4
364,0
365,0
366,4
367,4
368,0
369,4
370,3
372,2
373,3
374,4
375,3
376,3
377,1
378,4
379,4
380,4
381,2
382,1
383,0
384,4
385,0
386,3
387,2
388,2
389,3
390,3
391,0
392,4
393,1
394,1
395,2
396,2
397,1
398,0
399,4
400,0
401,2
402,4
403,2
404,4
405,1
406,1
